"Tableau II-1 : Examen de la qualité des données","","","","",""
"","","","(a)","",""
"N°","Libellé de la","Nom de","","(b) Cas","(c) Taux de valeurs"
"","","","Cas valides","",""
"d’ordre","variable","variable","","manquants","manquantes (%)"
"","Fréquentation","","","","0"
"1.","","B29","16432959","0",""
"","scolaire","","","",""
"","Type","","","0","0"
"2.","","B30","10 055 159","",""
"","d'enseignement","","","",""
"","Type","","","0","0"
"3.","","B31","7 861 594","",""
"","d'établissement","","","",""
"","Niveau","","","0","0"
"4.","","B32","7 861 594","",""
"","d'instruction","","","",""
"5.","Diplôme obtenu","B33","7 467 371","394 222","5,0"
"","Nombre","","","",""
"6.","d'années","B33A","2 193 565","0","0"
"","d'études","","","",""
"7.","Alphabétisation","B34","14 969 101","0","0"
"","Formation","","","",""
"8.","","B35","14 969 101","0","0"
"","professionnelle","","","",""
"Source : ANSD. RGPH-5, 2023","","","","",""
