"Région","Masculin","Féminin","Ensemble"
"DAKAR","25,2%","46,9%","36,4%"
"ZIGUINCHOR","35,9%","51,5%","43,4%"
"03 DIOURBEL","39,0%","69,0%","55,3%"
"SAINT-LOUIS","38,1%","65,1%","51,9%"
"TAMBACOUNDA","51,7%","74,0%","63,1%"
"KAOLACK","40,0%","65,6%","53,3%"
"THIES","30,4%","57,6%","44,2%"
"LOUGA","40,3%","70,7%","56,4%"
"FATICK","43,2%","62,3%","53,1%"
"KOLDA","46,7%","71,2%","59,1%"
"MATAM","57,6%","76,6%","67,3%"
"KAFFRINE","45,3%","70,3%","58,2%"
"KEDOUGOU","52,7%","74,9%","63,0%"
"SEDHIOU","48,7%","68,6%","58,6%"
"Total","37,2%","61,6%","49,8%"
"Milieu de résidence","","",""
"Urbain 
30,4% 
54,4% 
42,8%","","",""
"Rural 
46,4% 
71,6% 
59,2%","","",""
"Total 
37,2% 
61,6% 
49,8%","","",""
