"","","","","Migrant","","",""
"Groupes d'âge","","non","","oui","","Total",""
"","Effectif","","%","Effectif","%","Effectif","%"
"60-64 ans","379 267","","97,7","8 963","2,3","388 230","100,0"
"65-69 ans","252 445","","97,9","5 432","2,1","257 878","100,0"
"70-74 ans","202 406","","97,7","4 845","2,3","207 251","100,0"
"75-79 ans","96 239","","97,8","2 127","2,2","98 366","100,0"
"80-84 ans","68 007","","97,8","1 548","2,2","69 555","100,0"
"85-89 ans","28 254","","97,9","599","2,1","28 854","100,0"
"90-94 ans","15 353","","97,4","414","2,6","15 767","100,0"
"95ans et plus","9 450","","97,2","269","2,8","9 719","100,0"
"Total","16 782 651","","97,5","436 955","2,5","17 219 605","100,0"
"Source: ANSD. RGPH-5, 2023","","","","","","",""
