"","dans la zone urbaine de la région de Matam.","","","","","","","",""
"","Tableau III-25 : Taux d’inactivité par région selon le milieu de résidence et le sexe","","","","","","","",""
"","","","","","Taux d'inactivité","","","",""
"Région","","Urbain","","","Rural","","","National",""
"","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"Dakar","33,3","55,3","44,4","","","","33,3","55,3","44,4"
"Ziguinchor","41,6","61,8","51,6","50,3","62,5","56,4","45,3","62,1","53,6"
"Diourbel","36,6","58,8","48,8","38,5","58,4","48,8","37,2","58,7","48,8"
"Saint-Louis","38,3","65,1","51,9","41,1","65,5","53,6","39,7","65,3","52,8"
"Tambacounda","39,7","59,5","49,7","34,7","46,0","40,4","36,2","49,9","43,1"
"Kaolack","41,8","61,6","52,4","37,8","54,0","46,1","39,4","57,2","48,6"
"Thiès","37,0","59,5","48,4","35,3","60,3","47,8","36,3","59,8","48,2"
"Louga","41,9","61,3","52,4","33,7","56,8","45,8","36,0","58,1","47,7"
"Fatick","45,3","62,1","54,","44,0","58,5","51,4","44,3","59,4","52,2"
"Kolda","42,6","64,6","53,7","38,6","47,7","43,2","40,1","54,2","47,2"
"Matam","53,0","69,8","61,7","48,3","61,5","55,2","49,8","64,2","57,3"
"Kaffrine","45,6","62,4","54,5","31,3","45,7","38,6","33,6","48,6","41,3"
"Kédougou","38,8","51,4","44,6","39,6","49,6","44,2","39,4","50,2","44,3"
"Sédhiou","45,6","62,4","54,2","43,4","53,4","48,5","44,0","55,5","49,8"
"Total","36,9","58,6","48,0","38,7","55,8","47,4","37,6","57,5","47,8"
"","Source: ANSD. RGPH-5, 2023","","","","","","","",""
