"","migrants interne, les non migrants représentent 72 ,8% et les migrants internationaux 1,8%.","","","","",""
"Tableau VI-2 : Statut migratoire des résidents selon le sexe","","","","","",""
"","Masculin","","Féminin","","Ensemble",""
"Statut migratoire","","","","","",""
"","Effectif","%","Effectif","%","Ensemble","%"
"Non-migrants","6 379 684","72,5","6 500 594","73,2","12 880 279","72,8"
"Migrants internes","2 247 228","25,5","2 237 846","25,2","4 485 074","25,4"
"Migrants internationaux","172 523","2,0","145 162","1,6","317 685","1,8"
"Total","8 799 436","100,0","8 883 603","100,0","17 683 038","100,0"
"Source: ANSD. RGPH-5, 2023","","","","","",""
