"Situation par rapport à l'occupation","Migrant","","","","",""
"","non","","oui","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Occupé","3 753 934","96,7","126 588","3,3","3 880 522","100,0"
"Chômeur ayant travaillé","219 047","95,3","10 823","4,7","229 870","100,0"
"A la recherche d'un premier emploi","1 923 776","97,2","55 731","2,8","1 979 508","100,0"
"Occupé au foyer","2 056 031","97,7","47 548","2,3","2 103 579","100,0"
"Etudiant/élève","4 403 695","98,1","86 310","1,9","4 490 005","100,0"
"Rentier","198 456","97,0","6 201","3,0","204 656","100,0"
"Personnes du 3e âge pensionnées (FNR ou 
IPRES)","119 086","98,5","1 814","1,5","120 901","100,0"
"Personnes du 3e âge non pensionnées","341 171","98,2","6 294","1,8","347 464","100,0"
"Autres inactifs","1 551 282","97,2","44 278","2,8","1 595 560","100,0"
"Total","14 566 478","97,4","385 588","2,6","14 952 066","100,0"
