"Régions","Migrants durée de vie, RGPH de 1988","","","","","",""
"","Entrées","","Sorties","","Solde migratoire","Migration totale (Volume total)",""
"","EFFECTIF","Pourcentage 
(1)","EFFECTIF","Pourcentage (2)","","EFFECTIF 
TOTAL","% EFFECTIF TOTAL 
(1+2)"
"Dakar","456 845","46,3","109 547","11,1","347 298","566 392","57,4"
"Ziguinchor","51 208","5,2","78 238","7,9","-27 030","129 446","13,1"
"Diourbel","81 630","8,3","116 762","11,8","-35 132","198 392","20,1"
"Saint-Louis","37 818","3,8","127 789","12,9","-89 971","165 607","16,8"
"Tambacounda","30 409","3,1","23 777","2,4","6 632","54 186","5,5"
"Kaolack","89 306","9","94 259","9,6","-4 953","183 565","18,6"
"Thiès","115 500","11,7","157 099","15,9","-41 599","272 599","27,6"
"Louga","34 485","3,5","137 964","14","-103 479","172 449","17,5"
"Fatick","57 618","5,8","98 740","10","-41 122","156 358","15,8"
"Kolda","32 033","3,2","42 677","4,3","-10 644","74 710","7,6"
"Matam","-","-","-","-","-","-","-"
"Kaffrine","-","-","-","-","-","-","-"
"Kédougou","-","-","-","","-","","-"
"Sédhiou","-","-","-","-","-","-","-"
"Total","986 852","100","986 852","100","0","///","///"
"Régions","Migrants durée de vie, RGPH de 2002","","","","","",""
"","Immigrants","","Emigrants","","Solde 
migratoire","Migration totale (Volume total)",""
"","EFFECTIF","Pourcentage 
(1)","EFFECTIF","Pourcentage 
(2)","","EFFECTIF 
TOTAL","% EFFECTIF 
TOTAL 
(1+2)"
"Dakar","639 338","42,3","163 982","10,9","475 356","803 320","53,2"
"Ziguinchor","54 054","3,6","122 394","8,1","-68 340","176 448","11,7"
"Diourbel","195 351","12,9","203 776","13,5","-8 425","399 127","26,4"
"Saint-Louis","78 491","5,2","112 861","7,5","-34 370","191 352","12,7"
"Tambacounda","57 653","3,8","38 388","2,5","19 265","96 041","6,4"
"Kaolack","93 962","6,2","188 358","12,5","-94 396","282 320","18,7"
"Thiès","172 771","11,4","214 974","14,2","-42 203","387 745","25,7"
"Louga","47 813","3,2","173 515","11,5","-125 702","221 328","14,7"
"Fatick","71 727","4,7","158 189","10,5","-86 462","229 916","15,2"
"Kolda","75 446","5","78 820","5,2","-3 374","154 266","10,2"
"Matam","23 731","1,6","55 080","3,6","-31 349","78 811","5,2"
"Kaffrine","-","-","-","-","-","-","-"
"Kédougou","-","-","-","","-","","-"
"Sédhiou","-","-","-","-","-","-","-"
"Total","1 510 337","100","1 510 337","100","0","///","///"
"Région","Migrants durée de vie, RGPHAE de 2013","","","","","",""
"","Entrées","","Sorties","","Solde 
migratoire 
EFFECTIF","Migration totale (Volume total)",""
"","EFFECTIF","Pourcentage 
(1)","EFFECTIF","Pourcentage 
(2)","","EFFECTIF 
TOTAL","% EFFECTIF 
TOTAL"
"Dakar","819 973","43,2","246 066","13,0","573 907","1 066 039","56,2"
"Ziguinchor","64 251","3,4","156 756","8,3","-92 505","221 007","11,7"
"Diourbel","294 777","15,5","200 053","10,5","94 724","494 830","26,1"
"Saint-Louis","67 675","3,6","129 163","6,8","-61 488","196 838","10,4"
"Tambacounda","54 566","2,9","58 862","3,1","-4 296","113 428","6,0"
"Kaolack","79 323","4,2","202 479","10,7","-123 156","281 802","14,9"
"Thiès","241 162","12,7","279 760","14,7","-38 598","520 922","27,5"
"Louga","63 559","3,4","197 996","10,4","-134 437","261 555","13,8"
"Fatick","67 539","3,6","150 005","7,9","-82 466","217 544","11,5"
"Kolda","43 466","2,3","55 362","2,9","-11 896","98 828","5,2"
"Matam","33 613","1,8","46 313","2,4","-12 700","79 926","4,2"
"Kaffrine","35 053","1,8","74 671","3,9","-39 618","109 724","5,8"
"Kédougou","7 342","0,4","29 718","1,6","-22 376","37 060","2,0"
"Sédhiou","24 480","1,3","69 575","3,7","-45 095","94 055","5,0"
"Total","1 896 779","100","1 896 779","100","0","///","///"
