"Région","Urbain","","Rural","","Ensemble",""
"","Masculin","Féminin","Masculin","Féminin","Masculin","Féminin"
"Dakar","72,4","27,6","0,0","0,0","72,4","27,6"
"Ziguinchor","68,4","31,6","78,3","21,7","74,8","25,2"
"Diourbel","76,3","23,7","82,9","17,1","80,5","19,5"
"Saint-Louis","72,0","28,0","83,9","16,1","79,7","20,3"
"Tambacounda","80,0","20,0","94,6","5,4","92,1","7,9"
"Kaolack","74,3","25,7","92,0","8,0","87,9","12,1"
"Thiès","77,0","23,0","88,3","11,7","84,0","16,0"
"Louga","74,2","25,8","86,7","13,3","84,9","15,1"
"Fatick","74,1","25,9","86,3","13,7","84,5","15,5"
"Kolda","82,7","17,3","95,6","4,4","92,0","8,0"
"Matam","75,6","24,4","80,4","19,6","79,3","20,7"
"Kaffrine","82,4","17,6","96,0","4,0","94,7","5,3"
"Kédougou","78,8","21,2","87,6","12,4","85,5","14,5"
"Sedhiou","81,6","18,4","92,1","7,9","90,4","9,6"
"Sénégal","74,9","25,1","88,4","11,6","84,0","16,0"
