"dans les régions de Tambacounda, Kaffrine, Diourbel.","","","",""
"Tableau XIII-6 : Possession d’un acte de naissance par région et par milieu de résidence selon le sexe","","","",""
"","","Sexe","",""
"Région","","","","Indice de parité"
"","Homme","Femme","Ensemble",""
"","","Région","",""
"Dakar","94,2","93,4","93,8","99,2"
"Ziguinchor","92,8","91,5","92,1","98,6"
"Diourbel","72,8","69,6","71,1","95,7"
"Saint-Louis","81,1","79,9","80,5","98,5"
"Tambacounda","68,9","64,8","66,8","94,1"
"Kaolack","80,7","78,5","79,6","97,2"
"Thiès","87,0","85,9","86,4","98,8"
"Louga","73,8","71,1","72,4","96,3"
"Fatick","82,1","80,7","81,4","98,2"
"Kolda","77,3","74,4","75,9","96,3"
"Matam","73,2","72,5","72,9","99,0"
"Kaffrine","72,5","69,3","70,9","95,5"
"Kédougou","78,2","77,4","77,8","99,0"
"Sédhiou","76,6","73,6","75,1","96,1"
"","","Milieu de résidence","",""
"Urbain","88,7","87,3","88,0","98,4"
"Rural","74,3","71,4","72,9","96,1"
"S
National","82,1","80,1","81,1","97,6"
