"Sédhiou","","94,7","","5,3","","100,0","5 102"
"Total","","83,4","","16,6","","100,0","166 561"
"Source: ANSD. RGPH-5, 2023","","","","","","",""
"","La répartition des émigrants internationaux par profession au départ montre que, quel que soit","","","","","",""
"","le  sexe,  les  « ouvriers  et  employés  non  qualifiés »  ont  plus  tendance  à  émigrer,  avec  une","","","","","",""
"","proportion de 42,2%. C’est dans cette même catégorie de profession que les hommes (39,4%)","","","","","",""
"et  les  femmes  (56,7%)  émigrent  plus.  Ensuite,  viennent  les  « professions  intellectuelles  et","","","","","","",""
"scientifiques » qui représentent 11,4%.","","","","","","",""
"","En revanche, les « employés de type administratif » et les « membres de l’exécutif et des corps","","","","","",""
"","législatifs,  les  cadres  supérieurs  de  l’administration  publique,  les  dirigeants  et  les  cadres »,","","","","","",""
"sont 
les  moins","concernés","par","le","phénomène","de","l’émigration","internationale, 
avec"
"","respectivement  0,6%  et  1,3%.  En  outre,  chez","","","les","","femmes,  ce  sont","les  « conducteurs"
"","d’installations  et  de  machines et  ouvriers  de  l’assemblage »  qui  émigrent  le  moins  (0,1%),","","","","","",""
"","suivis des « agriculteurs et ouvriers qualifiés de l’agriculture et de la pêche » (0,8%).","","","","","",""
