"","Tableau  III-9 :  Répartition  (%)  de  la  population  des  actifs  occupés  par  groupe  d'âge  selon  le  milieu  de","","","","","","","",""
"résidence et le sexe.","","","","","","","","",""
"","","","","","Structure population occupée","","","",""
"Groupes d’âge","","Urbain","","","Rural","","","National",""
"","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"[15-19 ans]","8,2","9,0","8,5","13,9","17,4","14,8","10,2","11,4","10,6"
"[20-24 ans]","11,9","12,2","12,0","14,7","15,8","15,0","12,9","13,2","13,0"
"[25-29 ans]","13,0","13,8","13,2","12,9","12,9","12,9","13,0","13,5","13,1"
"[30-34 ans]","14,5","14,8","14,6","12,4","11,5","12,2","13,7","13,9","13,8"
"[35-39 ans]","13,8","13,6","13,8","11,1","9,7","10,7","12,9","12,4","12,7"
"[40-44 ans]","11,8","10,9","11,5","9,4","7,5","8,9","10,9","9,9","10,6"
"[45-49 ans]","8,8","8,6","8,7","7,2","6,2","6,9","8,2","7,9","8,1"
"[50-54 ans]","7,1","6,8","7,0","6,2","6,2","6,2","6,8","6,7","6,8"
"[55-59 ans]","4,7","4,5","4,6","4,1","4,1","4,1","4,5","4,4","4,5"
"[60-64 ans]","3,3","3,0","3,2","3,6","3,8","3,7","3,4","3,2","3,3"
"[65-69 ans]","1,6","1,5","1,6","2,0","2,0","2,0","1,8","1,6","1,7"
"[70 ans et +]","1,3","1,3","1,3","2,4","3,1","2,6","1,7","1,8","1,7"
"Total (%)","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif","1 599 614","751 369","2 350 983","867 670","309 231","1 176 901","2 467 284","1 060 600","3 527 884"
"Part (%)","45,3","21,3","66,6","24,6","8,8","33,4","69,9","30,1","100,0"
"","Source: ANSD. RGPH-5, 2023","","","","","","","",""
