"Tableau VII-14: Répartition des individus ayant été déjà mariés selon l'état matrimonial par sexe et milieu","","","","",""
"de résidence (%)","","","","",""
"","","","","État matrimonial",""
"","Milieu de","","","",""
"Sexe","","","","",""
"","résidence","Mariés","Veuf/Veuve","Divorcé(e)","Total déjà mariés"
"","Urbain","96,8","1,2","2","1 524 547"
"Masculin","Rural","98,0","1,1","0,9","1 214 874"
"","Ensemble","97,3","1,1","1,5","2 739 421"
"","Urbain","85,5","10","4,5","2 120 631"
"Féminin","Rural","90,1","8,5","1,4","1 776 725"
"","Ensemble","87,6","9,3","3,1","3 897 356"
"","Urbain","90,2","6,3","3,5","3 645 178"
"Ensemble","Rural","93,3","5,5","1,2","2 991 600"
"","Ensemble","91,6","6","2,5","6 636 777"
"Source : ANSD.RGPH-5, 2023","","","","",""
