"Situation dans l'occupation principale","Migrant","","","","",""
"","Non","","oui","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Travailleur indépendant","2 542 271","96,6","88 390","3,4","2 630 661","100,0"
"Employeur/Patron","200 918","95,6","9 337","4,4","210 255","100,0"
"Salarié/Employé permanent","461 875","97,1","13 769","2,9","475 644","100,0"
"Salarié/Employé temporaire","158 185","96,5","5 689","3,5","163 874","100,0"
"Apprenti","233 555","96,9","7 593","3,1","241 148","100,0"
"Aide familial","376 176","96,8","12 633","3,2","388 810","100,0"
"Total","3 972 980","96,7","137 411","3,3","4 110 392","100,0"
