"Nombre  Moyen  d'épouses  par  hom
 
  
Nombre Moyen d'épouses par homme marié 
polygame","",""
"REGION","",""
"DAKAR","2,3","1,2"
"ZIGUINCHOR","2,2","1,2"
"DIOURBEL","2,2","1,3"
"SAINT-LOUIS","2,2","1,2"
"TAMBACOUNDA","2,2","1,2"
"KAOLACK","2,2","1,3"
"THIES","2,2","1,2"
"LOUGA","2,2","1,3"
"FATICK","2,2","1,3"
"KOLDA","2,2","1,3"
"MATAM","2,2","1,2"
"KAFFRINE","2,2","1,4"
"KEDOUGOU","2,2","1,3"
"SEDHIOU","2,2","1,3"
"ENSEMBLE","2,2","1,2"
"MILIEU DE RESIDENCE","",""
"URBAIN 
2,3 
1,2","",""
"RURAL 
2,2 
1,3","",""
"ENSEMBLE 
2,2 
1,2","",""
