"Groupe d'âge","Sexe","","","","",""
"","Masculin","","Féminin","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"50-54 ans","617","5,3","156","2,1","773","4,1"
"55-59 ans","387","3,4","131","1,8","518","2,7"
"60-64 ans","386","3,3","89","1,2","475","2,5"
"65-69 ans","229","2,0","68","0,9","298","1,6"
"70-74 ans","132","1,1","43","0,6","175","0,9"
"75-79 ans","39","0,3","25","0,3","64","0,3"
"80-84 ans","19","0,2","13","0,2","32","0,2"
"85 ans et plus","21","0,0","11","0,0","32","0,0"
"Total","11542","100,0","7324","100,0","18866","100,0"
