"N° 
d’ordre","(c) Taux de 
(a) 
Nom de 
(b) Cas 
valeurs 
Libellé de la variable 
Cas valides 
variable 
manquants 
manquantes 
 
(%)","","","",""
"","MIGRATIONS INTERNES ET IMMIGRATION INTERNATIONALE","","","",""
"1.","Le lieu de naissance","B09","17 683 038","0","0%"
"2.","Lieu de résidence il y’a 5 ans 
(b13_reg région de résidence il y a 
5 ans), (b13_pays pays de 
résidence il y a 5 ans)","B13","15 453 134","0","0%"
"3.","Lieu de résidence il y’a 1 an (12 
derniers mois)","B15B","17 238 471","0","0%"
"4.","Motif de déplacement","B14","1 206 044","20 805","1,7%"
"5.","nationalité","B16","17 683 038","0","0%"
"EMIGRATION INTERNATIONALE","","","","",""
"","Sexe","D05","166561","0","0%"
"","Age au départ","D08","166561","0","0%"
"","Niveau d'instruction au départ","D09","165507","0","0%"
"","Etat matrimonial au départ","D09A","162785","1","0,01%"
"","Profession au départ","D10","164548","0","0%"
"","Pays de destination","D11","166561","0","0%"
"","Principal motif de la migration","D12","166561","0","0%"
