"","l’enseignement (7,3%) et la santé (5,5%).","","","","","","","",""
"Graphique III-9 : Répartition sectorielle des occupés au niveau du secteur tertiaire","","","","","","","","",""
"35,0","","","","","","","","",""
"30,1","","","","","","","","",""
"30,0","","","","","","","","",""
"23,0","","","","","","","","",""
"25,0","","","","","","","","",""
"20,0","","","","","","","","",""
"15,0","","","","","","","","",""
"","11,3 10,3","","","","","","","",""
"10,0","7,3","","","","","","","",""
"","","5,5","","","","","","",""
"5,0","","","","","","","","",""
"","","2,3","2,1","2,0","1,9","1,5","1,4","0,7","0,6"
"0,0","","","","","","","","",""
