"","Dans l’ensemble, la majorité des immigrants internationaux qui sont entrés au Sénégal il y a 5","","","","","",""
"","ans, résident dans la région de Dakar (58,7%). Par ailleurs, quelle que soit la nationalité la","","","","","",""
"","région  de  Dakar  accueille  la  plus  grande  partie  des  immigrants  internationaux  il  y  a  5  ans.","","","","","",""
"Toutefois,  les  régions  de  Thiès  (7,6%),  Ziguinchor  (6,3%)  et  Kédougou  (5,2%)  accueillent","","","","","","",""
"aussi des proportions non négligeables.","","","","","","",""
"En  outre,","il","ressort  de","l’analyse  par  nationalité  selon","la","région  que,","les","immigrants"
"","internationaux  de  nationalité  bissau  guinéenne  (23,6%),  gambienne  (19,2%)  et  ghanéenne","","","","","",""
"","(13,6%) qui sont entrés au Sénégal il y a cinq ans, choisissent comme lieu de résidence la","","","","","",""
"","région de Ziguinchor.","","","","","",""
"","De plus, ceux de nationalité malienne (13,8% pour Tambacounda ; 27,8% pour Kédougou),","","","","","",""
"","sierraléonaise  (13,6%),  européenne  (14,0%),  australienne  (74,4%)  et  burkinabé  (50,2%),","","","","","",""
"","ayant immigré au Sénégal, résident respectivement dans les régions de Tambacounda, Thiès,","","","","","",""
"","Kolda et Kédougou.","","","","","",""
"","Tableau VI-24 : Répartition des immigrants internationaux il y a 5 ans par nationalité selon la région","","","","","",""
