"Tableau  VI-12 :  Répartition  (%)  de  la  population  par  situation  matrimoniale  selon  le  statut  migratoire","","","","","","",""
"","interrégional du moment (au cours d’une année)","","","","","",""
"","","","","Migrant","","",""
"Situation matrimoniale","Non","","","oui","","Total",""
"","Effectif","%","Effectif","","%","Effectif","%"
"Monogame","3 989 608","97,4","106 527","","2,6","4 096 135","100"
"Polygame","1 915 688","97,1","58 144","","2,9","1 973 832","100"
"Célibataire","5 395 178","97,3","147 665","","2,7","5 542 843","100"
"Veuf/veuve","387 144","98,1","7 674","","1,9","394 819","100"
"Divorcé (e)","158 528","97,6","3 980","","2,4","162 507","100"
"Séparé (e)","11 834","96,7","404","","3,3","12 238","100"
"Union libre/Concubinage","10 882","96,6","387","","3,4","11 269","100"
"Total","11 868 864","97,3","324 781","","2,7","12 193 645","100"
"Source: ANSD. RGPH-5, 2023","","","","","","",""
