"","Tableau III-2 : Répartition (%) de la population potentiellement active  (15 ans et plus) par région selon le","","","","","","","",""
"","milieu de résidence et le sexe","","","","","","","",""
"","","","","Ensemble de la population des 15 ans et plus","","","","",""
"Région","","Urbain","","","Rural","","","Sénégal",""
"","Masculin","Féminin","Ensemble  Masculin","","Féminin","Ensemble  Masculin","","Féminin","Ensemble"
"Dakar","44,6","42,9","43,7","","","11","26,0","25,2","25,6"
"Ziguinchor","3,6","3,3","3,4","3,8","3,6","3,7","3,7","3,4","3,5"
"Diourbel","11,9","13,7","12,8","8,1","8,4","8,3","10,3","11,5","10,9"
"Saint-Louis","5,5","5,4","5,5","8,1","8,2","8,1","6,6","6,6","6,6"
"Tambacounda","2,5","2,4","2,5","8,6","8,4","8,5","5,0","4,9","5,0"
"Kaolack","4,6","5,0","4,8","9,7","9,7","9,7","6,7","6,9","6,8"
"Thiès","14,3","14,0","14,2","14,0","13,5","13,7","14,2","13,8","14,0"
"Louga","2,8","3,1","3,0","10,1","10,7","10,4","5,8","6,3","6,0"
"Fatick","1,8","2,0","1,9","8,4","8,6","8,5","4,6","4,7","4,6"
"Kolda","3,1","3,0","3,0","7,0","6,7","6,8","4,7","4,5","4,6"
"Matam","2,2","2,3","2,2","6,6","7,0","6,8","4,0","4,2","4,1"
"Kaffrine","1,1","1,2","1,1","8,2","8,1","8,1","4,1","4,0","4,0"
"Kédougou","0,8","0,6","0,7","2,3","1,9","2,1","1,4","1,2","1,3"
"Sédhiou","1,2","1,2","1,2","5,3","5,3","5,3","2,9","2,9","2,9"
"Total","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Total (effectif)   308 8030","","3 262 198","6 350 228","2 204 849  2 288 390","","4 493 239","5 292 880  5 550 587","","1 084 3467"
"Part","28,5","30,1","58,6","20,3","21,1","41,4","48,8","51,2","100,0"
"","Source: ANSD. RGPH-5, 2023","","","","","","","",""
