"","Tableau VI-17 : Répartition (%) de la population par profession selon le statut migratoire interrégional du","","","","",""
"moment (au cours d’une année)","","","","","",""
"","","","","Migration","",""
"Profession3","non","","oui","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Membres de l’exécutif et des corps législatifs, cadres supérieurs","","","","","",""
"","85 403","97,4","2 250","2,6","87 653","100,0"
"de l’administration publique, dirigeants et cadres","","","","","",""
"Professions intellectuelles et scientifiques","1 512 958","96,3","57 891","3,7","1 570 849","100,0"
"Professions intermédiaires","1 259 879","95,3","62 572","4,7","1 322 451","100,0"
"Employés de type administratif","37 812","98,0","790","2,0","38 602","100,0"
"Personnel des services et vendeurs de magasin et de marché","605 876","97,1","18 204","2,9","624 079","100,0"
"Agriculteurs et ouvriers qualifiés de l’agriculture et de la pêche","794 808","98,1","15 792","1,9","810 600","100,0"
"Artisans et ouvriers des métiers de type artisanal","592 682","97,5","15 207","2,5","607 889","100,0"
"Conducteurs d’installations et de machines et ouvriers de","","","","","",""
"","194 476","97,2","5 698","2,8","200 173","100,0"
"l’assemblage","","","","","",""
"Ouvriers et employés non qualifiés","8 038 907","97,9","172 474","2,1","8 211 382","100,0"
"Autres","1 443 677","97,7","34 711","2,3","1 478 388","100,0"
"Total","14 566 478","97,4","385 588","2,6","14 952 066","100,0"
"Source: ANSD. RGPH-5, 2023","","","","","",""
