"","Les hommes sont plus sujets à l’émigration internationale que les femmes au cours des cinq","","","","",""
"","dernières années, quel que soit l’âge, le niveau d’instruction, l’état matrimonial, la région ou le","","","","",""
"milieu de résidence,.","","","","","",""
"","En considérant le groupe d’âge des émigrants au cours des cinq dernières années, il faut noter","","","","",""
"que chez les hommes, la proportion d’émigrants augmente avec l’âge. En effet, elle passe de","","","","","",""
"68,5% chez les moins de 15 ans à 87,0% chez les 65 ans et plus. Par contre chez les femmes,","","","","","",""
"la tendance s’inverse et la proportion d’émigrants devient plus élevée aux groupes d’âges les","","","","","",""
"","plus jeunes (31,5% chez les moins de 15 ans et 11,6% chez les 35-64 ans).","","","","",""
"","Concernant  le  niveau  d’instruction,  la  proportion  d’émigrants  au  cours  des  cinq  dernières","","","","",""
"","années chez les hommes est plus élevée pour les sans niveau d’instruction (89,8%). Lorsque","","","","",""
"","le  niveau  augmente,  la  proportion  diminue  en  passant  de  89,8%  chez  les  hommes  n’ayant","","","","",""
"","aucun  niveau  à  68,6%  chez  ceux  de  niveau  supérieur.  Chez  les  femmes,  les  proportions","","","","",""
"","augmentent  lorsque  le  niveau  d’instruction  s’accroit,  avec  des  proportions  comprises  entre","","","","",""
"10,2% et 31,4%.","","","","","",""
"","En  prenant  en  compte","","l’état  matrimonial,","il  est  constaté  que","","la  proportion  d’émigrants"
"","internationaux se caractérise par des variations. Pour les veufs (ves), elle est plus élevée chez","","","","",""
"","les femmes (69,0%), contrairement à la tendance générale montrant que les hommes émigrent","","","","",""
"plus.","","","","","",""
"","S’agissant du milieu de résidence, il est constaté que chez les hommes, c’est en milieu rural","","","","",""
"","qu’il y’a plus de départs (91,6%). A l’opposé, les femmes du milieu urbain (21,3%) émigrent","","","","",""
"","plus que celles du milieu rural (8,4%).","","","","",""
"","Les régions qui connaissent plus de départs pour les hommes sont de Matam (95,1), Sédhiou","","","","",""
"","(94,7), Tambacounda (93,5%), Kolda (93,3%), Louga (92,6%). Tandis que pour les femmes,","","","","",""
"","il s’agit de celles de Dakar (29,1) et Ziguinchor (27,2).","","","","",""
"T","ableau VI-29 : Répartition des émigrants internationaux au cours des cinq dernières années par groupe","","","","",""
"","d'âge, niveau d’instruction, état matrimonial, milieu de résidence et région selon le sexe","","","","",""
"","","","Sexe","","",""
"","Groupe d’âges","","","","Total","Effectifs"
"","","Homme","","Femme","",""
"","Moins de 15 ans","68,5","","31,5","100,0","5 351"
"","15-24 ans","78,4","","21,6","100,0","41 225"
"","25-34 ans","83,3","","16,7","100,0","58 561"
"","35-64 ans","88,3","","11,7","100,0","58 044"
"","65 ans et plus","87,4","","12,6","100,0","3 380"
"","Total","83,4","","16,6","100,0","166 561"
"","","","Niveau d’instruction","","",""
"","Aucun","89,8","","10,2","100,0","65 740"
"","Elementaire","85,0","","15,0","100,0","20 634"
"","Moyen","83,8","","16,2","100,0","15 827"
"","Secondaire","75,1","","24,9","100,0","18 136"
"","Supérieur","68,6","","31,4","100,0","26 403"
"","NSP","87,7","","12,3","100,0","19 821"
"","Total","83,4","","16,6","100,0","166 561"
"","","","","Etat matrimonial","",""
"","Monogame","87,9","","12,1","100,0","73 657"
"","Polygame","77,4","","22,6","100,0","22 083"
"","Célibataire","82,0","","18,0","100,0","67 614"
"","Veuf (ve)","31,0","","69,0","100,0","703"
