"","Tableau III-8 : Répartition (%) de la population des actifs occupés par région selon le milieu de résidence","","","","","","","",""
"et le sexe.","","","","","","","","",""
"","","","","Structure population occupée","","","","",""
"","","Urbain","","","Rural","","","National",""
"Région","","","","","","","","",""
"","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"Dakar","49,5","53,4","50,7","","","","32,1","37,8","33,8"
"Ziguinchor","3,2","2,8","3,0","2,6","2,5","2,6","3,0","2,7","2,9"
"Diourbel","11,3","11,6","11,4","8,5","8,0","8,3","10,3","10,5","10,4"
"Saint-Louis","5,5","4,7","5,2","8,5","7,3","8,2","6,5","5,4","6,2"
"Tambacounda","2,1","1,6","1,9","7,6","9,4","8,1","4,1","3,8","4,0"
"Kaolack","4,1","4,1","4,1","9,6","9,5","9,6","6,0","5,6","5,9"
"Thiès","14,7","13,5","14,3","17,7","15,1","17,0","15,8","14,0","15,2"
"Louga","2,4","2,6","2,5","12,4","11,2","12,1","5,9","5,1","5,7"
"Fatick","1,5","1,5","1,5","7,3","7,4","7,4","3,5","3,2","3,4"
"Kolda","2,3","1,6","2,1","6,6","7,2","6,7","3,8","3,3","3,6"
"Matam","1,1","0,8","1,0","4,5","5,1","4,6","2,3","2,1","2,2"
"Kaffrine","1,0","0,9","1,0","8,9","10,7","9,4","3,8","3,8","3,8"
"Kédougou","0,6","0,3","0,5","1,9","1,6","1,8","1,0",",7",",9"
"Sédhiou","0,8","0,6","0,7","3,9","5,0","4,2","1,9","1,9","1,9"
"Total (%)","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif","159 9614","75 1369","2 350 983","867 670","309 231","1 176 901","2 467 284","1 060 600","3 527 884"
"Part (%)","45,3","21,3","66,6","24,6","8,8","33,4","69,9","30,1","100,0"
"","Source: ANSD. RGPH-5, 2023","","","","","","","",""
