"","","","(a)","",""
"N°","Libellé de la","Nom de","","(b) Cas","(c) Taux de valeurs"
"d’ordre","variable","variable","","manquants","manquantes (%)"
"","","","Cas valides","",""
"1.","Faculté visuelle","B21","17 238 471","0","0%"
"2.","Faculté auditive","B22","17 238 471","0","0%"
"3.","Mobilité","B23","15 453 134","0","0%"
"4.","Mémoire","B24","15 453 134","0","0%"
"","Prise en charge","","","",""
"5.","","B25","13 108 118","0","0%"
"","de soi","","","",""
"6.","Communication","B26","15 453 134","0","0%"
"Source : ANSD. RGPH-5, 2023","","","","",""
