"","sont observées quels que soient le milieu de résidence et le sexe.","","","","","","","",""
"Tableau II-10 : Taux brut et taux net (en %) de scolarisation par niveau d’études, selon le milieu de résidence et le sexe","","","","","","","","",""
"Niveau","","Urbain","","","Rural","","","National",""
"d'instruction","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"","","","","","TBS","","","",""
"Préscolaire","24,7%","27,1%","25,8%","10,7%","12,0%","11,4%","17,3%","19,1%","18,2%"
"Primaire","91,9%","92,1%","92,0%","70,4%","72,3%","71,4%","80,3%","81,7%","81,0%"
"Moyen","57,2%","64,5%","60,9%","37,4%","43,5%","40,4%","47,1%","54,3%","50,6%"
"Secondaire","38,4%","43,8%","41,2%","16,6%","18,5%","17,5%","28,1%","32,5%","30,3%"
"","","","","","TNS","","","",""
"Préscolaire","21,3%","23,5%","22,4%","8,1%","9,0%","8,5%","14,3%","15,9%","15,1%"
"Primaire","69,3%","70,5%","69,9%","51,8%","53,7%","52,7%","59,8%","61,6%","60,7%"
"Moyen","36,3%","41,8%","39,1%","22,1%","26,5%","24,2%","29,0%","34,3%","31,6%"
"Secondaire","18,1%","21,4%","19,8%","6,6%","7,6%","7,1%","12,6%","15,2%","14,0%"
"Source: ANSD. RGPH-5, 2023","","","","","","","","",""
