"Groupe 
d'âge","Urbain","","","Rural","","","Sénégal","",""
"","Effectif des 
femmes ayant 
eu au moins 
une naissance 
au cours des 
12 derniers 
mois","Effectif des 
femmes 
primipares","Proportion 
des femmes 
primipares","Effectif des 
femmes ayant 
eu au moins 
une naissance 
au cours des 
12 derniers 
mois","Effectif des 
femmes 
primipares","Proportion 
des femmes 
primipares","Effectif des 
femmes ayant 
eu au moins 
une naissance 
au cours des 
12 derniers 
mois","Effectif des 
femmes 
primipares","Proportion 
des femmes 
primipares"
"10-14 ans","1 234","508","41,2","3 214","1 407","43,8","4 448","1 915","43,1"
"15-19 ans","17 146","12 356","72,1","35 673","22 577","63,3","52 819","34 934","66,1"
"20-24 ans","54 573","25 498","46,7","75 926","25 045","33,0","130 499","50 543","38,7"
"25-29 ans","59 785","16 622","27,8","67 325","9 658","14,4","127 110","26 280","20,7"
"30-34 ans","55 209","8 943","16,2","52 374","4 022","7,7","107 583","12 965","12,1"
"35-39 ans","39 377","3 905","10,0","36 453","1 714","4,7","75 830","5 619","7,4"
"40-44 ans","17 085","1 367","8,0","16 510","8 31","5,0","33 595","2 198","6,5"
"45-49 ans","6 220","651","10,5","7 818","488","6,2","14 038","1 140","8,1"
"50-54 ans","4 299","551","12,8","6 074","610","10,0","10 373","1 162","11,2"
"Ensemble","254 928","70 401","27,6","301 367","66 352","22,0","556 295","136 756","24,6"
