"","Tableau II-4 : Niveau d’alphabétisation (en %) de la population âgée de 10 ans et plus par groupe d’âges quinquennaux","","","","","","","","","","",""
"","selon le milieu de résidence et le sexe","","","","","","","","","","",""
"","","","Urbain","","","","","","Rural","","",""
"Groupe","","","","","","","","","","","",""
"","","Masculin","","","Féminin","","","Masculin","","","Féminin",""
"d'âges","","","","","","","","","","","",""
"","Non","","","Non","","","Non","","","Non","",""
"quinquennaux","","Alphabétisés","","","","Alphabétisés","","Alphabétisés","","","","Alphabétisés"
"","alphabétisés","","","alphabétisés","","","alphabétisés","","","alphabétisés","",""
"10-14","36,3","63,7","","36,3","","63,7","40,2","59,8","","40,9","","59,1"
"15-19","22,3","77,7","","22,7","","77,3","30,7","69,3","","32,2","","67,8"
"20-24","24,8","75,2","","27,9","","72,1","33,5","66,5","","38,7","","61,3"
"25-29","26,5","73,5","","32,6","","67,4","35,1","64,9","","43,5","","56,5"
"30-34","30,2","69,8","","39,8","","60,2","37,6","62,4","","49,4","","50,6"
"35-39","32,6","67,4","","45,0","","55,0","39,5","60,5","","52,2","","47,8"
"40-44","33,3","66,7","","47,3","","52,7","40,6","59,4","","54,1","","45,9"
"45-49","32,1","67,9","","48,1","","51,9","40,7","59,3","","54,6","","45,4"
"50-54","32,3","67,7","","50,6","","49,4","41,6","58,4","","56,6","","43,4"
"55-59","31,6","68,4","","51,8","","48,2","42,7","57,3","","57,8","","42,2"
"60-64","32,7","67,3","","54,2","","45,8","43,6","56,4","","58,8","","41,2"
"65-69","30,1","69,9","","54,2","","45,8","43,8","56,2","","60,1","","39,9"
"70-74","32,1","67,9","","58,0","","42,0","45,0","55,0","","61,0","","39,0"
"75-79","34,9","65,1","","61,7","","38,3","46,6","53,4","","62,4","","37,6"
"80-84","38,6","61,4","","64,6","","35,4","47,9","52,1","","62,3","","37,7"
