"présents dans la formation formelle (13,3%) que dans celle informelle (10,1%).","","","",""
"","Tableau II-18 : Répartition de la population âgée de 6 ans et plus par type de formation professionnelle suivie selon le","","",""
"sexe, le milieu de résidence et le groupe d’âge","","","",""
"Caractéristiques descriptives","Formation formelle","","Formation informelle","Formés"
"","","SEXE","",""
"Masculin","54,9","","67,8","58,6"
"Féminin","45,1","","32,2","41,4"
"","","Milieu de résidence","",""
"Urbain","81,4","","72,1","78,7"
"Rural","18,6","","27,9","21,3"
"","","Grands groupes d’âge","",""
"[6 - 14[","13,3","","10,1","12,4"
"[15 - 59[","79,0","","83,0","80,2"
"60 et plus","7,7","","6,9","7,5"
"Effectifs total","952793","","387352","1340145"
"Source : ANSD. RGPH-5, 2023","","","",""
