"Tableau III-18 : Taux d’occupation par type de formation professionnelle selon le milieu de résidence et le","","","","","","","","",""
"sexe","","","","","","","","",""
"Formation","","Urbain","","","Rural","","","National",""
"professionnelle","Masculin","Féminin","Ensemble  Masculin","","Féminin","Ensemble  Masculin","","Féminin","Ensemble"
"Aucun","51,0","21,0","35,1","39,4","13,3","25,9","45,8","17,6","31,0"
"Formation","","","","","","","","",""
"","60,3","43,8","52,5","45,9","25,3","37,9","57,7","41,3","50,2"
"formelle","","","","","","","","",""
"Formation","","","","","","","","",""
"","78,7","53,1","70,9","62,9","28,1","51,3","74,9","46,5","66,0"
"informelle","","","","","","","","",""
"Total","53,7","24,1","38,5","40,3","13,7","26,8","48,2","19,8","33,7"
"Source: ANSD. RGPH-5, 2023","","","","","","","","",""
