"Groupes 
d'âges","Ménage isolé","Ménage 
monoparental","Ménage 
nucléaire","Ménage élargi","Ménage 
composite"
"12-14","54,6","0,9","0,2","1,4","43,0"
"15-19","24,5","6,3","12,0","13,4","43,9"
"20-24","17,1","10,6","14,7","26,5","31,0"
"25-29","14,1","15,3","15,3","34,7","20,6"
"30-34","10,8","19,7","14,1","41,6","13,7"
"35-39","7,1","22,9","12,8","47,7","9,5"
"40-44","5,4","23,8","10,4","52,4","7,9"
"45-49","4,4","22,1","8,1","58,1","7,4"
"50-54","3,9","17,7","4,9","64,7","8,9"
"55-59","3,7","13,1","2,9","70,3","10,0"
"60-64","3,6","9,6","1,5","73,5","11,8"
"64-69","3,6","7,2","0,8","75,3","13,1"
"70-74","3,5","6,4","0,5","75,1","14,5"
"75-79","3,8","5,9","0,4","74,7","15,2"
"80+","4,5","6,2","0,2","72,8","16,2"
