"Région","Urbain","","Rural","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%"
"Dakar","78 428","31,3","0","0,0","78 428","9,9"
"Ziguinchor","10 498","4,2","19 381","3,6","29 879","3,8"
"Diourbel","26 330","10,5","44 084","8,1","70 414","8,9"
"Saint-Louis","24 022","9,6","46 960","8,7","70 982","9,0"
"Tambacounda","7 947","3,2","44 453","8,2","52 400","6,6"
"Kaolack","16 383","6,5","54 326","10,0","70 709","8,9"
"Thiès","33 574","13,4","60 091","11,1","93 665","11,8"
"Louga","11 861","4,7","68 786","12,7","80 648","10,2"
"Fatick","7 931","3,2","50 229","9,3","58 159","7,3"
"Kolda","13 268","5,3","40 703","7,5","53 971","6,8"
"Matam","9 538","3,8","34 143","6,3","43 682","5,5"
"Kaffrine","5 139","2,1","49 990","9,2","55 129","7,0"
"Kédougou","2 258",",9","7 578","1,4","9 836","1,2"
"Sedhiou","3 035","1,2","21 224","3,9","24 259","3,1"
"Sénégal","250 210","100,0","541 950","100,0","792 160","100,0"
