"Tableau VI-30 : Répartition des émigrants internationaux par profession au départ","","","","","",""
"","","","Sexe","","",""
"Profession","Masculin","","Féminin","","","Total"
"","Effectif","%","Effectif","%","Effectif","%"
"Membres de l’exécutif et des corps","","","","","",""
"législatifs, cadres supérieurs de","","","","","",""
"","1 708","1,2","369","1,4","2 077","1,3"
"l’administration publique, dirigeants","","","","","",""
"et cadres","","","","","",""
"Professions intellectuelles et","","","","","",""
"","16 018","11,6","2 763","10,2","18 781","11,4"
"scientifiques","","","","","",""
"Professions intermédiaires","13 698","10,0","2 248","8,3","15946","9,7"
"Employés de type administratif","636","0,5","290","1,1","927","0,6"
"Personnel des services et vendeurs","","","","","",""
"","11 531","8,4","1 839","6,8","13 370","8,1"
"de magasin et de marché","","","","","",""
