"","","","Sexe","","",""
"Principale langue couramment parlée","Masculin","","Féminin","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%"
"Wolof","4 171 939","","52,8  4 353 159","54,1","8 525 098","53,5"
"Pulaar","2 106 592","","26,7  2 068 876","25,7","4 175 468","26,2"
"Sereer","761 751","9,7","772 760","9,6","1 534 511","9,6"
"Joola","227 944","2,9","229 018","2,9","456 963","2,9"
"Màndienka","224 141","2,8","226 320","2,8","450 461","2,8"
"Sóninke","91 121","1,2","97 466","1,2","188 586","1,2"
"Hasaniya (Maure)","10 277","0,13","10 578","0,13","20 855","0,13"
"Balante","35 273","0,45","35 358","0,44","70 631","0,44"
"Mànkaañ","13 395","0,17","14 705","0,18","28 099","0,18"
"Mànjaku","32 683","0,41","36 128","0,45","68 811","0,43"
"Mënik","3 121","0,04","3 039","0,04","6 161","0,04"
"Oniyan","2 985","0,04","3 086","0,04","6 071","0,04"
"Guñuun","601","0,01","509","0,01","1 110","0,01"
"Kanjad","1 968","0,02","2 160","0,03","4 128","0,03"
"Jalunga","3 056","0,04","3 031","0,04","6 087","0,04"
"Bayot","1 502","0,02","1 500","0,02","3 002","0,02"
"Womey","538","0,01","573","0,01","1 110","0,01"
"Tourka (Sénégal)","723","0,01","710","0,01","1 433","0,01"
"Langage des signes (Sourd-Muet)","21 555","0,27","20 582","0,26","42 137","0,26"
"Langues étrangères","9 788","0,12","6 148","0,08","15 936","0,10"
"Autres langues africaines","106 218","1,35","95 392","1,19","201 610","1,26"
"Français","53 811","0,68","47 334","0,59","101 145","0,63"
"Autres langues non africaines","16 053","0,20","14 745","0,18","30 798","0,19"
"Total","7 897 035","100,0  8 043 179","","100,0  1 5940 213","","100,0"
"Source : ANSD. RGPH-5, 2023","","","","","",""
