"Région","Evolution du taux d'urbanisation de 1976 à 2023","","","",""
"","1976","1988","2002","2013","2023"
"Dakar","96,3","96,5","97,2","96,4","100,0"
"Ziguinchor","29,7","33,7","46,9","46,0","54,9"
"Diourbel","21","21,5","15,9","16,1","66,9"
"Saint-Louis","23,4","27,1","36,7","45,7","46,8"
"Tambacounda","13,9","15,7","16,9","23,9","26,4"
"Kaolack","20,7","23,0","23,3","35,5","38,2"
"Thies","29,0","34,0","42,7","49,0","57,5"
"Louga","11,5","14,9","18,4","22,0","27,0"
"Fatick","9,0","10,6","12,7","16,1","22,8"
"Kolda","8,4","10,6","13,5","26,0","36,2"
"Matam","*","*","13,7","22,1","31,5"
"Kaffrine","*","*","*","15,8","15,3"
"Kedougou","*","*","*","25,7","31,3"
"Sedhiou","*","*","*","20,0","22,2"
"Sénégal","34,0","39,0","40,7","45,2","54,7"
