"","","","Sexe","","",""
"Profession","Masculin","","Féminin","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Agriculteurs et ouvriers qualifiés de","","","","","",""
"","12 041","8,8","206","0,8","12 247","7,4"
"l’agriculture et de la pêche","","","","","",""
"Artisans et ouvriers des métiers de","","","","","",""
"","9 602","7,0","348","1,3","9 950","6,0"
"type artisanal","","","","","",""
"Conducteurs d’installations et de","","","","","",""
"","2 525","1,8","24","0,1","2 549","1,5"
"machines et ouvriers de l’assemblage","","","","","",""
"Ouvriers et employés non qualifiés","54 186","39,4","15 297","56,7","69 483","42,2"
"Autres","15 626","11,4","3 593","13,3","19 218","11,7"
"Total","137 572","100,0","26 976","100,0","164 548","100,0"
"Source: ANSD. RGPH-5, 2023","","","","","",""
"Parmi les émigrants internationaux, 30,8% avaient comme destination les pays de l’Europe du","","","","","",""
"Sud,  21,9%  les  pays  de  l’Europe  de  l’Ouest  et  18,4%  les  pays  de  l’Afrique  de  l’Ouest.","","","","","",""
"Globalement, l’Afrique enregistre 34,2% contre 54,8% pour l’Europe.","","","","","",""
"","Cependant, les pays de l’Afrique de l’Est, l’Australie et l’Asie constituent les destinations les","","","","",""
"","moins prisées par les émigrants internationaux du Sénégal, avec des proportions inférieures","","","","",""
"à 1%.","","","","","",""
